Time[s] Voltage[V] Current[A] Power[W]
0.007994890213012695 48.3125114440918 0.859376072883606 41.51861635596788
0.015492916107177734 48.3125114440918 0.9309917092323303 44.97854760664154
0.023487567901611328 48.3125114440918 0.859376072883606 41.51861635596788
0.03148484230041504 48.3125114440918 0.966796875 46.708385087549686
0.03947925567626953 48.3125114440918 0.8235656023025513 39.78852258620236
0.04747366905212402 48.3125114440918 0.8951812386512756 43.248453836876024
0.05546903610229492 48.3125114440918 0.859376072883606 41.51861635596788
0.06346487998962402 48.3125114440918 0.859376072883606 41.51861635596788
0.07146048545837402 48.3125114440918 0.9309917092323303 44.97854760664154
0.07945704460144043 48.3125114440918 0.8951812386512756 43.248453836876024
0.08722496032714844 48.3125114440918 1.0026021003723145 48.438225448107914
0.09522056579589844 48.3125114440918 0.859376072883606 41.51861635596788
0.10321593284606934 48.3125114440918 0.859376072883606 41.51861635596788
0.11221075057983398 48.3125114440918 0.859376072883606 41.51861635596788
0.12020659446716309 48.3125114440918 1.074217677116394 51.898153819131494
0.12820196151733398 48.37328338623047 0.9309917092323303 45.03512578092659
0.13619589805603027 48.3125114440918 0.8951812386512756 43.248453836876024
0.14319252967834473 48.3125114440918 1.0384125709533691 50.16831921787343
0.1513228416442871 48.3125114440918 0.9309917092323303 44.97854760664154
0.159318208694458 48.3125114440918 0.966796875 46.708385087549686
0.1681685447692871 48.3125114440918 0.8951812386512756 43.248453836876024
0.17516326904296875 48.3125114440918 0.9309917092323303 44.97854760664154
0.1840345859527588 48.3125114440918 0.9309917092323303 44.97854760664154
0.1920301914215088 48.3125114440918 0.8951812386512756 43.248453836876024
0.19971537590026855 48.3125114440918 0.859376072883606 41.51861635596788
0.20770978927612305 48.3125114440918 0.9309917092323303 44.97854760664154
0.21576261520385742 48.3125114440918 0.859376072883606 41.51861635596788
0.22375750541687012 48.3125114440918 0.9309917092323303 44.97854760664154
0.23184895515441895 48.3125114440918 0.8951812386512756 43.248453836876024
0.23958420753479004 48.3125114440918 0.8951812386512756 43.248453836876024
0.24762701988220215 48.3125114440918 0.966796875 46.708385087549686
0.25562191009521484 48.3125114440918 1.0026021003723145 48.438225448107914
0.26361727714538574 48.3125114440918 0.8951812386512756 43.248453836876024
0.27143168449401855 48.3125114440918 0.966796875 46.708385087549686
0.27942705154418945 48.3125114440918 0.859376072883606 41.51861635596788
0.28737521171569824 48.3125114440918 0.9309917092323303 44.97854760664154
0.2955150604248047 48.3125114440918 0.9309917092323303 44.97854760664154
0.30378198623657227 48.3125114440918 0.8951812386512756 43.248453836876024
0.31177735328674316 48.3125114440918 0.9309917092323303 44.97854760664154
0.3197023868560791 48.3125114440918 0.8951812386512756 43.248453836876024
0.3276975154876709 48.3125114440918 0.966796875 46.708385087549686
0.33600831031799316 48.3125114440918 0.9309917092323303 44.97854760664154
0.34400367736816406 48.3125114440918 0.9309917092323303 44.97854760664154
0.352123498916626 48.3125114440918 0.859376072883606 41.51861635596788
0.3601188659667969 48.3125114440918 0.8951812386512756 43.248453836876024
0.3678262233734131 48.3125114440918 0.9309917092323303 44.97854760664154
0.3758225440979004 48.3125114440918 1.0384125709533691 50.16831921787343
0.3838517665863037 48.3125114440918 0.859376072883606 41.51861635596788
0.3918471336364746 48.3125114440918 0.8951812386512756 43.248453836876024
0.3995976448059082 48.3125114440918 0.9309917092323303 44.97854760664154
0.4075925350189209 48.3125114440918 0.859376072883606 41.51861635596788
0.41575098037719727 48.3125114440918 0.859376072883606 41.51861635596788
0.42374587059020996 48.3125114440918 1.0384125709533691 50.16831921787343
0.4320335388183594 48.3125114440918 0.8951812386512756 43.248453836876024
0.4395737648010254 48.3125114440918 0.8951812386512756 43.248453836876024
0.44794368743896484 48.3125114440918 0.8951812386512756 43.248453836876024
0.45593857765197754 48.3125114440918 1.0026021003723145 48.438225448107914
0.4642016887664795 48.3125114440918 1.0026021003723145 48.438225448107914
0.47119712829589844 48.3125114440918 0.8951812386512756 43.248453836876024
0.47919297218322754 48.3125114440918 0.8951812386512756 43.248453836876024
0.4875752925872803 48.3125114440918 0.8951812386512756 43.248453836876024
0.4956951141357422 48.3125114440918 0.8235656023025513 39.78852258620236
0.5035011768341064 48.3125114440918 0.859376072883606 41.51861635596788
0.5114965438842773 48.3125114440918 0.859376072883606 41.51861635596788
0.5200579166412354 48.3125114440918 0.9309917092323303 44.97854760664154
0.528052806854248 48.3125114440918 1.0026021003723145 48.438225448107914
0.5358326435089111 48.3125114440918 0.859376072883606 41.51861635596788
0.5438282489776611 48.3125114440918 1.0026021003723145 48.438225448107914
0.5518243312835693 48.3125114440918 0.8951812386512756 43.248453836876024
0.5598196983337402 48.3125114440918 0.9309917092323303 44.97854760664154
0.5678153038024902 48.3125114440918 0.859376072883606 41.51861635596788
0.5758111476898193 48.3125114440918 0.9309917092323303 44.97854760664154
0.583806037902832 48.3125114440918 0.859376072883606 41.51861635596788
0.5918011665344238 48.3125114440918 0.859376072883606 41.51861635596788
0.5993690490722656 48.3125114440918 0.859376072883606 41.51861635596788
0.6073646545410156 48.3125114440918 0.9309917092323303 44.97854760664154
0.6155118942260742 48.3125114440918 0.8951812386512756 43.248453836876024
0.623507022857666 48.3125114440918 0.859376072883606 41.51861635596788
0.6321301460266113 48.3125114440918 0.8951812386512756 43.248453836876024
0.6401257514953613 48.3125114440918 0.8951812386512756 43.248453836876024
0.6473109722137451 48.3125114440918 0.859376072883606 41.51861635596788
0.6553061008453369 48.3125114440918 0.859376072883606 41.51861635596788
0.6641151905059814 48.3125114440918 0.8951812386512756 43.248453836876024
